Zeitschienen,SRG SSR Total,SRF Total,SRF 1,SRF zwei,SRF info,RTS 1,RSI LA 1,Restliche SRG SSR,Andere Sender,Facts,Aktivitäten,Zielgruppe,Region,Jahr,Zeitintervall
20:15:00 - 20:30:00,573.185388029,562.776075413,424.002955247,111.027987524,27.745132643,8.425509515,0.559884817,1.423918283,1064.748652,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
20:30:00 - 20:45:00,561.465433255,551.245428581,417.148724874,114.943087846,19.153615861,8.098521847,0.426708282,1.694774546,1058.09005426,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
20:45:00 - 21:00:00,536.912292573,527.545630031,394.342486888,116.254775523,16.94836762,7.17042152,0.19175427,2.004486753,1068.64693145,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
21:00:00 - 21:15:00,502.378497178,494.723085749,345.838510742,130.098101857,18.78647315,4.861406355,0.254187226,2.539817848,1082.90710516,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
21:15:00 - 21:30:00,523.099397642,516.920898333,358.885924118,133.032359428,25.002614787,3.188761697,0.448166027,2.541571586,1067.750639574,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
21:30:00 - 21:45:00,493.652646118,487.573230972,326.921636044,131.101882785,29.549712143,2.883670795,0.522039632,2.673704719,1041.231679202,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
21:45:00 - 22:00:00,491.80457185,486.173960746,336.866062961,119.710108375,29.59778941,2.615962473,0.405593572,2.609055058,880.611074696,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
22:00:00 - 22:15:00,516.90528769,511.823797027,388.340856524,106.342699899,17.140240605,2.325652522,0.373198047,2.382640093,780.284902784,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
22:15:00 - 22:30:00,342.835963382,338.090013083,202.999958747,118.571274578,16.518779758,2.020371551,0.37160262,2.353976127,753.573122875,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
22:30:00 - 22:45:00,269.393750615,265.479726037,142.680615194,107.288596801,15.510514042,1.54064786,0.319714674,2.053662043,700.057972576,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
22:45:00 - 23:00:00,224.817523647,222.166640711,114.980248231,90.922879725,16.263512755,0.93501227,0.21593698,1.499933687,613.741325316,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
23:00:00 - 23:15:00,167.210589357,165.627802617,84.321944191,67.55372448,13.752133946,0.481923588,0.150705693,0.950157459,556.388464387,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
23:15:00 - 23:30:00,137.856839143,136.657189428,70.996862376,55.177678751,10.482648301,0.319405724,0.137119534,0.743124456,471.952090721,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
23:30:00 - 23:45:00,109.193421084,108.272707743,55.792604057,43.897563448,8.582540238,0.250736759,0.157607836,0.512368746,406.005199883,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
23:45:00 - 24:00:00,75.002273934,74.048885254,33.755529024,33.029518189,7.26383804,0.22809731,0.257725956,0.467565414,345.940880433,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
